0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:02:54 +0530] "GET /MedioxyPharm/img/med2.jpeg HTTP/1.1" 200 112320
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:02:54 +0530] "GET /MedioxyPharm/img/med3.jpeg HTTP/1.1" 200 299091
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:02:54 +0530] "GET /MedioxyPharm/img/med5.jpeg HTTP/1.1" 200 85421
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:02:54 +0530] "GET /MedioxyPharm/js/jquery-1.11.0.min.js HTTP/1.1" 200 96381
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:02:55 +0530] "GET /MedioxyPharm/js/bootstrap.min.js HTTP/1.1" 200 29110
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:02:55 +0530] "GET /MedioxyPharm/js/owl.carousel.min.js HTTP/1.1" 200 14916
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:02:55 +0530] "GET /MedioxyPharm/js/modernizr.js HTTP/1.1" 200 51351
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:02:56 +0530] "GET /MedioxyPharm/css/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 200 44432
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:01 +0530] "GET /MedioxyPharm/login HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:12 +0530] "POST /MedioxyPharm/perform_login HTTP/1.1" 200 41735
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/css/font-awesome.css HTTP/1.1" 200 21643
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/css/bootstrap.min.css HTTP/1.1" 200 109521
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 200 35211
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/js/jquery-1.11.0.min.js HTTP/1.1" 200 96381
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/js/bootstrap.min.js HTTP/1.1" 200 29110
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/js/modernizr.js HTTP/1.1" 200 51351
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/css/animate.min.css HTTP/1.1" 200 47610
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/js/owl.carousel.min.js HTTP/1.1" 200 14916
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/img/logo.jpg HTTP/1.1" 200 3406
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/img/logo-small.jpg HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/img/img2.jpg HTTP/1.1" 200 130609
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/img/img1.jpg HTTP/1.1" 200 240147
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/img/img4.jpg HTTP/1.1" 200 97636
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/img/img3.jpg HTTP/1.1" 200 129847
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/assets/img/1.jpg HTTP/1.1" 200 10002
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/assets/img/2.jpg HTTP/1.1" 200 46120
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/assets/img/3.jpg HTTP/1.1" 200 14206
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/assets/img/4.jpg HTTP/1.1" 200 21069
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/assets/img/5.jpg HTTP/1.1" 200 20546
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/assets/img/6.jpg HTTP/1.1" 200 10002
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/assets/img/8.jpg HTTP/1.1" 200 10002
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/img/med1.jpeg HTTP/1.1" 200 64660
0:0:0:0:0:0:0:1 - - [22/Nov/2017:14:03:13 +0530] "GET /MedioxyPharm/img/med4.jpeg HTTP/1.1" 200 137504
